courseId,courseName,chapterId,chapterName,lessonId,lessonName,taskId,taskTitle,scenario,pdfUrls,tallyUrls,answerKeyUrl,xp,instructions
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_01,Entering the Battlefield – QMS Basics & SOP Gap Review,task_1_01_01_1,QMS Compliance Check,"Welcome to your first mission as a Junior Quality Control Analyst at Zenith Pharma Labs!

Your supervisor, Ms. Rhea Patel, Quality Assurance Supervisor, needs you to ensure the lab’s Quality Management System (QMS) is on point. You’ve been tasked with checking if the lab’s batch record-keeping follows the QMS rules outlined in the SOP. Your job is to review the SOP, compare it to a lab observation, and fill out a Compliance Verification Form to confirm if the process is compliant or flag any issues. This keeps the lab’s operations safe and reliable, like a well-coordinated army following its playbook.

CheckList:

1. Review the SOP for batch record-keeping.
2. Compare it to a lab observation to check compliance.
3. Complete the Compliance Verification Form (100–150 words) to report your findings.

Why This Matters:
 Checking QMS compliance ensures every pill is safe and meets standards, protecting patients and avoiding costly mistakes.",https://drive.google.com/file/d/1K0SDr6xPtfcQr_pH3YUCjAMVTI1it8zd/view?usp=sharing,https://tally.so/r/m6Bzeo,https://drive.google.com/file/d/1mFO3hiotOq3pHMEYGQtq--sIUvUq-OjA/view?usp=sharing,10,"Open SOP: Click “Reference Documents” → read Batch Record-Keeping Procedure (requires date, batch number, operator’s initials).
Review Observation: From Reference Documents → note issue: Some batch records missing operator’s initials.
Check Compliance: Compare SOP vs. observation → ask: Is the lab following the rule? What’s the gap?
Open Form: Click “Fillable Document” → Compliance Verification Form.
Complete Form:
Compliance Status: State if compliant or non-compliant.
Observation: Briefly describe the issue.
Recommendation: Suggest one practical fix (100–150 words).
Verify: Ensure findings are clear and solution is realistic.
Check Answer: Click “Answer Portal” → review correct Compliance Verification Form."
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_02,Control the Arsenal – Document Versioning & Register Mastery,task_1_01_02_1,SOP Gap Review and DCR Submission.,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, reporting to Mr. Vikram Desai, Quality Assurance Lead.
During a routine document audit, you notice that the SOP for sample storage (SOP-QC-002, v1.0) requires samples to be stored at 2–8°C, but the lab’s refrigerator log shows temperatures occasionally reaching 10°C due to a missing maintenance check step. Mr. Desai asks you to propose an update to the SOP using a Document Change Request (DCR) Form to add a daily maintenance check.

Deliverable

Completed Document Change Request (DCR) Form (100–150 words) identifying the SOP gap and proposing the addition of a daily refrigerator maintenance check.",https://drive.google.com/file/d/1y6RVPyWpTB_SD0sskQDxt5S8GbQxM4U4/view?usp=sharing,https://tally.so/r/wbJPeo,https://drive.google.com/file/d/1kt87iFAUiZUiOGBjjk6pkzhtk98MHi2k/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QC-002 and the refrigerator log.
Compare SOP (requires 2–8°C storage, no maintenance step) to the log (shows temperature deviations).
Open “Fillable Document” (DCR Form).
Fill the form: Identify SOP, describe gap (missing maintenance check), propose change (add daily check step), and justify (prevents temperature deviations).
Submit via “Answer Portal.”"
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_03,Spot the Breach – Deviation Detection & Rapid Reporting,task_1_01_03_1,Detecting and Classifying a Deviation,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, reporting to Ms. Priya Sharma, Quality Assurance Supervisor. During a routine in-process check (IPC) of a tablet batch (Batch No. TAB-2025-047), you notice that the tablet weight recorded by the automated weighing machine is 495 mg, below the SOP-QC-003 requirement of 500 ± 5 mg. After checking, you find the weighing machine was not calibrated before the shift, causing the deviation. Ms. Sharma instructs you to document this using the Deviation and Incident Report Form and propose immediate containment actions.

Deliverable

Completed Deviation and Incident Report Form (100–150 words total across fields) documenting the weight deviation, its cause, and containment actions.",https://drive.google.com/file/d/11Pqhs4bKzotVdEmLs_kL3RpEshaiO4HP/view?usp=sharing,https://tally.so/r/3jVqb9,https://drive.google.com/file/d/1E7UVvyWtPSCLChXVtLDwIOFv95C4h3cj/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QC-003 and IPC Log.
Compare SOP (tablet weight 500 ± 5 mg) to IPC Log (weight 495 mg).
Open “Fillable Document” (Deviation and Incident Report Form).
Fill the form: Describe the deviation (low weight), identify cause (uncalibrated machine), classify severity (Major), and propose containment (quarantine batch, recalibrate machine).
Submit via “Answer Portal.”"
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_04,Strike Back – Root Cause Analysis & CAPA Drafting,task_1_01_04_1,The Mystery of the Failing Cold Room,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, reporting to Mr. Anil Gupta, Quality Assurance Manager. During a routine dissolution test for tablet batch TAB-2025-049, 3 out of 20 tablets failed to meet the SOP-QC-004 dissolution specification (≥80% dissolution in 30 minutes). Initial investigation points to inconsistent granulation time. Mr. Gupta instructs you to perform a root cause analysis (RCA) using the 5 Whys method and document corrective and preventive actions using the CAPA Command Template.

Deliverable: Completed CAPA Command Template (100–150 words total across descriptive fields) documenting the root cause of the dissolution failure and proposing corrective and preventive actions.",https://drive.google.com/file/d/1lS8dLuDj7nq_pBJ-gJuvkEM6uKwkAt10/view?usp=sharing,https://tally.so/r/mDGOYl,https://drive.google.com/file/d/1XuYqWUXV9iFj_VOmxN5zzPxP-k-wiEBb/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QC-004 and Dissolution Test Log.
Use the 5 Whys method to identify the root cause (start with: tablets failed dissolution test).
Open “Fillable Document” (CAPA Command Template).
Fill the form: Describe the issue, document RCA findings, propose corrective actions (e.g., retrain operators), and preventive actions (e.g., update equipment settings), assign responsibilities, and set deadlines.
Submit via “Answer Portal.”"
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_05,First Combat Drill – Internal Audit & Document Inspection Simulation,task_1_01_05_1,Internal Audit & Document Inspection at Sunrise Hospital Lab,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, assigned as an internal auditor under Ms. Rhea Patel, QA Manager. During a mock process audit of the sample testing process, you review the Sample Testing Log (LOG-2025-016) against SOP-QC-005 (Sample Testing Procedure, v1.0). You notice that 4 out of 10 test records lack analyst signatures, violating SOP-QC-005’s requirement for signed documentation. Ms. Patel instructs you to document your findings and recommend corrective actions using the Audit & Inspection Form.

Deliverable: 
Completed Audit & Inspection Form (100–150 words total across REMARKS and Others/Additional Observations) documenting audit findings and recommending actions.",https://drive.google.com/file/d/1-oJxjHqSgFMuadS30z0e4X7S2Niym0Pd/view?usp=sharing,https://tally.so/r/mV6BGl,https://drive.google.com/file/d/1KxGNxSxQjpedN8HdvsWo6Yr308ugNea8/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QC-005 and Sample Testing Log.
Compare SOP-QC-005 (requires analyst signatures on all test records) to LOG-2025-016 (4/10 records missing signatures).
Open “Fillable Document” (Audit & Inspection Form).
Fill the form: Check relevant criteria (e.g., Documentation complete and accurate: NO), provide REMARKS (e.g., missing signatures), and recommend actions in Others/Additional Observations (e.g., retrain staff, add checklist).
Submit via “Answer Portal.”"
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_06,Defend the Lab – OOS/OOT Identification & First-line Investigation,task_1_01_06_1,OOS Identification and First-line Investigation,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, reporting to Ms. Priya Sharma, Quality Assurance Supervisor. During a routine purity test for raw material batch RM-2025-105, the HPLC test result shows a purity of 98.5%, below the SOP-QC-006 specification of ≥99.5%. Initial checks suggest a possible lab error in sample preparation. Ms. Sharma instructs you to document the OOS result and perform a first-line investigation using the Deviation and Incident Report Form, noting immediate actions and initial findings.

Deliverable: Completed Deviation and Incident Report Form (100–150 words total across Incident Description, Immediate Action Taken, Root Cause Analysis, CAPA Details) documenting the OOS result, immediate actions, and initial investigation findings.",https://drive.google.com/file/d/1wTls81wwbIgvuyF200uR2wvTn1RrQ3BB/view?usp=sharing,https://tally.so/r/3jVqb9,https://drive.google.com/file/d/11FmFmPckN-p-Fi83L-9PlpaknjLjnwqC/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QC-006 and HPLC Test Log.
Compare SOP-QC-006 (purity ≥99.5%) to HPLC Test Log (98.5% purity).
Open “Fillable Document” (Deviation and Incident Report Form).
Fill the form: Describe the OOS result, note immediate actions (e.g., quarantine batch, recheck data), provide initial RCA (e.g., possible sample preparation error), propose corrective/preventive actions, and assign responsibilities.
Submit via “Answer Portal.”"
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_07,Guard the Data – ALCOA+ & Data Integrity Auditing,task_1_01_07_1,ALCOA+ & Data Integrity Auditing,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, assigned as a data integrity auditor under Mr. Vikram Desai, QA Lead. During a mock audit of batch record data for tablet batch TAB-2025-053, you review the Batch Record Log (LOG-2025-020) against SOP-QA-007 (Batch Record Documentation). You notice that 5 out of 10 records have timestamps entered hours after the test, violating SOP-QA-007’s requirement for contemporaneous data entry (ALCOA+ principle). Mr. Desai instructs you to document your findings and recommend improvements using the Compliance Verification Form.

Deliverable: 
Completed Compliance Verification Form (100–150 words total across REMARKS, Deviation Details, Suggested Improvements) documenting the data integrity audit findings and proposed improvements.",https://drive.google.com/file/d/1P739y6U2m9-qzwXOWqGx5nlzXmIM3_Mf/view?usp=sharing,https://tally.so/r/m6Bzeo,https://drive.google.com/file/d/1JQytxpbHV5Nvr3OFjZ1YMdUu-8Tpm8Ow/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QA-007 and Batch Record Log.
Compare SOP-QA-007 (requires contemporaneous timestamps) to LOG-2025-020 (delayed timestamps).
Open “Fillable Document” (Compliance Verification Form).
Fill the form: Check criteria (e.g., Documentation complete and accurate: B - FAIL), provide REMARKS (e.g., delayed timestamps), detail deviation, and suggest improvements (e.g., retrain staff, use electronic logging).
Submit via “Answer Portal.”"
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_08,Full-Scale Operation – Deviation to CAPA Lifecycle Simulation,task_1_01_08_1,Deviation to CAPA Lifecycle Simulation,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, reporting to Ms. Rhea Patel, QA Manager. During a routine hardness test for tablet batch TAB-2025-055, the result is 3.5 kg, below the SOP-QC-008 specification of 4–6 kg (deviation detected). 

Initial assessment shows major impact on product quality, and RCA reveals a machine malfunction due to overdue maintenance. Ms. Patel instructs you to simulate the full Deviation to CAPA lifecycle using two forms: 

1. Deviation and Incident Report Form for detection, logging, assessment, containment, and RCA.
2. CAPA Command Template for drafting corrective/preventive actions, implementation, verification, and closure. 

This builds a complete, traceable cycle.

Deliverable: 
Two completed forms—Deviation and Incident Report Form (for initial stages) and CAPA Command Template (for CAPA stages)—documenting the full lifecycle from deviation detection to CAPA closure (100–150 words total across descriptive fields per form).",https://drive.google.com/file/d/1jj9qqQzB_q5WOEidKglhzecpc4aIbnmj/view?usp=sharing,https://tally.so/r/3jVqb9 | https://tally.so/r/mDGOYl,https://drive.google.com/file/d/1RmlneEj-uWatsNRfzHI8muWo5itx4aCQ/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QC-008 and Hardness Test Log.
Simulate the initial stages: Log the deviation (hardness 3.5 kg), assess impact (major), contain (quarantine), and perform RCA (5 Whys to root cause).
Open “Fillable Document” (Deviation and Incident Report Form).
Fill the Deviation Form: Describe incident, note immediate actions, provide RCA, propose preliminary CAPA ideas, and set to Open. Submit via “Answer Portal” (this ""closes"" the deviation phase).
Transition to CAPA: Use the Deviation Form's RCA/output as input for detailed CAPA drafting.
Open “Fillable Document” (CAPA Command Template).
Fill the CAPA Template: Reference the deviation ID (DEV-2025-055), draft corrective/preventive actions, assign responsibilities, plan verification, and note closure date. Submit via “Answer Portal”.
Tip: This two-form workflow mimics real QA—deviation for quick response, CAPA for long-term fix. Keep descriptions concise and evidence-based."
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_09,The War Game – Integrated QA/QC Crisis Assignment,task_1_01_09_1,Integrated QA/QC Crisis Assignment,"You are a Junior Quality Control Analyst at Zenith Pharma Labs, reporting to Mr. Anil Gupta, QA Manager. A crisis erupts: an assay test for Batch TAB-2025-057 shows an OOS result (API content 97.8% vs. ≥99.0% per SOP-QC-009). Simultaneously, an audit uncovers missing training records for two analysts (AK003, VS004) on SOP-QC-009, and an FDA inspection is scheduled tomorrow. Mr. Gupta tasks you with managing the crisis using three forms: Crisis Tracker Dashboard to triage and prioritize issues, Deviation and Incident Report Form to detail the OOS with RCA, and CAPA Command Template to resolve the OOS with corrective/preventive actions.

Deliverable: Three completed forms:

1. Crisis Tracker Dashboard (triage/prioritize OOS and training issues, 100–150 words across descriptives).
2. Deviation and Incident Report Form (OOS detail/RCA, 100–150 words).
3. CAPA Command Template (OOS resolution, 100–150 words).",https://drive.google.com/file/d/1ruYNX4Z-tMs1C36Mp414nh5n_vO_QYzP/view?usp=sharing, https://tally.so/r/mYABqv | https://tally.so/r/3jVqb9 | https://tally.so/r/mDGOYl,https://drive.google.com/file/d/1DVPWaaU2u6JKrJ_7dacXXee33wwWLgVo/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QC-009, Assay Test Log, and Training Record Log.
Triage the crisis: List issues (OOS, missing records), assess risk, prioritize (OOS first).
Open “Fillable Document” (Crisis Tracker Dashboard).
Fill Dashboard: Describe issues, assign risk/priority (OOS: Major/High), note status, link to Deviation IDs. Submit via “Answer Portal” (sets crisis overview).
Focus on OOS (highest priority): Detail deviation and perform RCA.
Open “Fillable Document” (Deviation and Incident Report Form).
Fill Deviation Form: Describe OOS, note containment, RCA (5 Whys), preliminary CAPA. Submit via “Answer Portal”.
Resolve OOS: Use Deviation RCA for CAPA drafting.
Open “Fillable Document” (CAPA Command Template).
Fill CAPA Template: Reference Deviation ID, draft corrective/preventive actions, plan verification/closure. Submit via “Answer Portal”.
Tip: Dashboard is your crisis command center—link IDs across forms for traceability. Prioritize patient safety (OOS) for audit readiness."
,,,,,,,,,,,,,
course_1,,ch_1_02,Hospital Quality Command Protocols,les_1_02_01,Entering the Ward Zone – Hospital QMS Framework & Accreditation Codes,task_1_02_01_1,Ward QMS Compliance Audit,"You are a Junior Quality Control Analyst at Zenith Hospital, reporting to Dr. Meera Nair, Quality Assurance Lead. During a routine ward audit in Ward 3 (General Medicine), you review the Hand Hygiene Compliance Log (LOG-2025-027) against SOP-QA-010 (Hand Hygiene Protocol). 

You find that 6 out of 10 shift logs lack hand hygiene verification entries, violating SOP-QA-010 and NABH Standard AAC.5 (Access to Care and Continuity). Dr. Nair instructs you to document the non-compliance and recommend improvements using the Compliance Verification Form to prepare for an upcoming NABH audit.

Deliverable: 
Completed Compliance Verification Form (100–150 words total across REMARKS, Deviation Details, Suggested Improvements) documenting the ward audit findings and proposed improvements for NABH compliance.",https://drive.google.com/file/d/1Sz3g4chibpJOI18mRlH78C-gfuc26qsb/view?usp=sharing,https://tally.so/r/m6Bzeo,https://drive.google.com/file/d/1KYlll5nEFnTyrXlT_vJUpeQWJdS7ZdoW/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QA-010 and Hand Hygiene Compliance Log.
Compare SOP-QA-010 (requires hand hygiene verification entries per shift) to LOG-2025-027 (missing entries).
Open “Fillable Document” (Compliance Verification Form).
Fill the form: Check criteria (e.g., Documentation complete and accurate: B - FAIL), provide REMARKS (e.g., missing entries), detail deviation, and suggest improvements (e.g., retrain staff, add digital logging).
Submit via “Answer Portal”."
course_1,,ch_1_02,,les_1_02_02,Code Control – SOP Command Chains & Access Authority,task_1_02_02_1,SOP Compliance and Access Authority Audit,"You are a Junior Quality Control Analyst at Zenith Hospital, reporting to Dr. Vikram Desai, QA Lead. During a routine ward audit in Ward 4 (Surgical Unit), you review the SOP Register (REG-2025-002) against SOP-QA-011 (Surgical Instrument Sterilization Protocol). You find that 3 out of 5 SOP copies in use are version 1.0 (expired 01/06/2025), while the current version is 2.0, violating NABH Standard MOM.2 (Management of Medication). Dr. Desai instructs you to document the non-compliance and recommend improvements using the Compliance Verification Form to prepare for an upcoming NABH audit.

Deliverable: 
Completed Compliance Verification Form (100–150 words total across REMARKS, Deviation Details, Suggested Improvements) documenting the SOP compliance audit findings and proposed improvements for NABH adherence.",https://drive.google.com/file/d/1RcJ_GoLC__evWJNRrXejtBKxIo_Si5MJ/view?usp=sharing,https://tally.so/r/m6Bzeo,https://drive.google.com/file/d/1yAlj2pOBvxfmbH5COv1L3ZCHi_pJ1-Jd/view?usp=sharing,10,"Click “Reference Documents” to review SOP-QA-011 and SOP Register.
Compare SOP-QA-011 (version 2.0, effective 01/07/2025) to REG-2025-002 (outdated version 1.0 in use).
Open “Fillable Document” (Compliance Verification Form).
Fill the form: Check criteria (e.g., SOP followed as per latest revision: B - FAIL), provide REMARKS (e.g., outdated SOPs), detail deviation, and suggest improvements (e.g., recall old versions, implement digital SOP library).
Submit via “Answer Portal”."
